Bet ID,Placed,Settled,Sport,League,Bet Type,Selection,Wager,Odds,To Win,Status,Result
FD001,01/15/2025 14:30,01/15/2025 22:00,NBA,NBA,Straight,Lakers ML,50,-110,45.45,WON,Win
FD002,01/15/2025 15:00,01/15/2025 22:00,NBA,NBA,Straight,Celtics -5.5,25,-110,22.73,LOST,Loss
FD003,01/16/2025 12:00,01/16/2025 21:00,MLB,MLB,Straight,Yankees ML,100,-120,83.33,WON,Win
FD004,01/16/2025 12:30,01/16/2025 21:00,MLB,MLB,Straight,Dodgers -1.5,50,+145,72.50,LOST,Loss
FD005,01/17/2025 18:00,01/17/2025 23:00,NBA,NBA,Parlay,Lakers +Celtics Parlay,20,+350,70.00,WON,Win
FD006,01/17/2025 18:30,01/17/2025 23:00,NBA,NBA,Straight,Warriors -3,75,-115,65.22,LOST,Loss
FD007,01/18/2025 14:00,01/18/2025 22:30,NBA,NBA,Straight,Bucks ML,60,-105,57.14,WON,Win
FD008,01/19/2025 12:00,01/19/2025 21:30,MLB,MLB,Straight,Red Sox ML,40,+130,52.00,WON,Win
FD009,01/19/2025 13:00,01/19/2025 21:30,MLB,MLB,Straight,Cubs -1.5,30,-135,22.22,LOST,Loss
FD010,01/20/2025 18:00,01/20/2025 23:00,NBA,NBA,Straight,Heat ML,100,-110,90.91,LOST,Loss
FD011,01/20/2025 18:30,01/20/2025 23:00,NBA,NBA,Straight,76ers +4,50,-110,45.45,WON,Win
FD012,01/21/2025 12:00,01/21/2025 22:00,MLB,MLB,Straight,Cardinals ML,75,+115,86.25,WON,Win
FD013,01/21/2025 12:30,01/21/2025 22:00,MLB,MLB,Straight,Braves -1.5,40,-145,27.59,LOST,Loss
FD014,01/22/2025 18:00,01/22/2025 23:00,NBA,NBA,Parlay,Bucks+Heat+Warriors Parlay,15,+600,90.00,LOST,Loss
FD015,01/22/2025 18:30,01/22/2025 23:00,NBA,NBA,Straight,Suns ML,80,-105,76.19,WON,Win
FD016,01/23/2025 12:00,,NBA,NBA,Straight,Lakers ML,50,-110,45.45,PENDING,
FD017,01/23/2025 12:30,,MLB,MLB,Straight,Yankees ML,75,-130,57.69,PENDING,
FD018,01/24/2025 18:00,01/24/2025 23:00,NBA,NBA,Straight,Nuggets -2,60,-115,52.17,WON,Win
FD019,01/24/2025 19:00,01/24/2025 23:00,NBA,NBA,Straight,Clippers ML,45,+175,78.75,LOST,Loss
FD020,01/25/2025 12:00,01/25/2025 22:00,MLB,MLB,Straight,Astros -1.5,100,-155,64.52,WON,Win
FD021,01/25/2025 13:00,01/25/2025 22:00,MLB,MLB,Straight,Giants ML,55,+140,77.00,WON,Win
FD022,01/26/2025 14:00,01/26/2025 22:30,NBA,NBA,Straight,Knicks +3.5,80,-110,72.73,LOST,Loss
FD023,01/26/2025 15:00,01/26/2025 22:30,NBA,NBA,Straight,Bulls ML,35,+220,77.00,WON,Win
FD024,01/27/2025 12:00,01/27/2025 21:00,MLB,MLB,Parlay,Dodgers+Yankees Parlay,25,+280,70.00,LOST,Loss
FD025,01/27/2025 13:00,01/27/2025 21:00,MLB,MLB,Straight,Mets ML,90,+105,94.50,LOST,Loss
FD026,01/28/2025 18:00,01/28/2025 23:00,NBA,NBA,Straight,Warriors ML,70,-120,58.33,WON,Win
FD027,01/28/2025 18:30,01/28/2025 23:00,NBA,NBA,Straight,Celtics -4.5,50,-110,45.45,WON,Win
FD028,01/29/2025 12:00,01/29/2025 22:00,MLB,MLB,Straight,Phillies ML,65,-115,56.52,LOST,Loss
FD029,01/29/2025 13:00,01/29/2025 22:00,MLB,MLB,Straight,Blue Jays -1.5,40,-130,30.77,WON,Win
FD030,01/30/2025 18:00,01/30/2025 23:00,NBA,NBA,Straight,Lakers -3,100,-110,90.91,PUSH,Push
